username,userid,profile_location,created_at,text,retweet_count,source,coordinates
The Undigested: Live from the Belly of the Beast,1315307328053350401,NYC,2023-01-21 22:11:02,@DyjuanTatro If they are fired then why aren't they arrested and charged? The color don't matter folks ACAB,0,Twitter for Android,
Halal Leftist,1203469634919370761,New York City,2023-01-21 20:07:12,@LibertySearch53 @sourpatchlyds Larry says ACAB. You go king,0,Twitter for iPhone,
Tyler,2550344744,"New York, NY",2023-01-21 20:06:48,@acab_cards He’s a waste of time,0,Twitter for iPhone,
Reify This (kse/ksir) 🇺🇦 💙🏳️‍⚧️ ✊🏿,1503291575216091136,"Williamsburg, Brooklyn",2023-01-21 18:23:43,"It’s time to #cancel #IceT. Not only does he play a #cop in Law &amp; Order (#ACAB), but in his #rock band Body Count h… https://t.co/dzXbXG8XiC",0,Twitter for iPhone,
food for worms 💢 vs 🥪,288403039,"Bronx, NY",2023-01-21 18:00:06,Cops are so fucking worthless. ACAB https://t.co/lbYiK0MYGg,0,Twitter for Android,
La Puta Ciela 🌠,1173712382755053568,"Brooklyn, NY",2023-01-21 17:29:26,Acab all the fucking way https://t.co/nOBOGBSA3J,0,Twitter for iPhone,
Incindery 🔥,1240645212977934337,NYC,2023-01-21 17:16:46,Today’s “neutral” could be tomorrow’s abolitionist.  Who here was *born* with ACAB tattooed on their bicep?,0,Twitter Web App,
Buu G,1341083671021928448,"New York, NY",2023-01-21 17:16:05,ACAB hardcore twitter fighting with keyboard warrior hardcore twitter over who can more self righteous,0,Twitter for Android,
amazon unions,2911952361,NYC,2023-01-21 16:08:42,"The police cannot be reformed. Defund these scumbag fuckin pigs, make them ashamed to be cops. ACAB https://t.co/L1azGIHO81",0,Twitter for iPhone,
Pete 🏳️‍🌈,278597661,"Brooklyn, NY",2023-01-21 15:13:38,"Everyone look at this piece of shit cop, putting citizens in danger, because they’re not doing anything. ACAB even… https://t.co/drR3PWf5ZA",0,Twitter for iPhone,
Bitter Espresso 🏳️‍⚧️,263446017,New York,2023-01-21 13:32:26,"Woah, police officers fired before the video of what they dod was even made public?  Police accountability! Cause f… https://t.co/rVXxlgUMcN",0,Twitter for Android,
lil lexapro 🚀,384187207,NYC,2023-01-21 13:18:20,ACAB means the dogs https://t.co/B0AtQEhZs9,0,Twitter for iPhone,
DinosaurHunter94: Basically Evil,892231452,"New York, NY",2023-01-21 06:23:58,A hero was lost. A heartbreaking thread #ACAB https://t.co/WZsot3pUve,0,Twitter for iPhone,
🔞Heart0fink🔞,802864587775287296,"New York, USA",2023-01-21 03:38:09,"@SDonziger People trying to save the earth are branded ""Terrorists"" by cops. Meanwhile cops escort and do nothing a… https://t.co/5iYkfaBtQP",0,Twitter for Android,
todd bonzalez,436285340,"Brooklyn, NY",2023-01-21 02:19:04,@DarthDream acab includes the refs,0,Twitter for iPhone,
eggspresso,1347726940338343944,nyc,2023-01-21 02:16:11,@BigKnickEnergy_ ACAB means NBA refs too,0,Twitter for iPhone,
Incindery 🔥,1240645212977934337,NYC,2023-01-21 02:02:37,@james1chas3 The “racial component” is that Tyre was black.  All cops are bad. ACAB.,4,Twitter Web App,
Loc🍫Choco,1477044784078462980,NYC,2023-01-21 01:30:48,Check out Dion of ACAB's video! #TikTok https://t.co/nIbRH7PewE,0,Twitter for iPhone,
Dash,231721615,"Brooklyn, NY",2023-01-20 22:19:05,ACAB includes police dog sonas,3,Twitter for iPhone,
Hinged Tweets,1007264425827553280,"Lower East Side, Manhattan",2023-01-20 21:54:07,@MrToDamnFunny that's why i always take acab,0,Twitter for Android,
Crabrade Greg Enemy of Crabitalism 🇭🇷,1254216663794429955,"Jersey City, NJ",2023-01-20 20:41:17,"I don’t know who needs to hear this, but ACAB includes balls

https://t.co/QBCNbKlALx",2,Twitter for iPhone,
QueenPiB ⭐,125457338,"Secaucus, NJ",2023-01-20 19:40:36,"ACAB still applies in the Mojave Wasteland.
#fallout https://t.co/VtxTTsqSJE",1,Twitter for Android,
anarchy in new york,812462630862540800,NYC,2023-01-20 18:48:01,"the Perpetrator  is #RichardJohnson
-of the-  Richmond P.D. Folks.
#Richmond #Virginia
#ACAB  #RichmondPD… https://t.co/UBsomyQtQM",1,Twitter Web App,
Edgar Castillo,374756281,"New York, NY",2023-01-20 17:28:47,"Eric Adams is an asshole. I said it. 
- town crier on the Canal Street platform  #voxpopuli #duh #ACAB",0,Twitter for iPhone,
April 🏳️‍⚧️,927245953089843202,"New York, NY",2023-01-20 17:20:40,"They're really leaning into the ""B"" in ""ACAB"" today, I see. https://t.co/2dSrKSw349",0,Twitter Web App,
Violet Cinder 🔮🐈‍⬛🏳️‍⚧️,1432726256940949506,"Brooklyn, NY",2023-01-20 16:46:06,@bodega_catgirl really taking 'acab includes landlords' literally,0,Twitter Web App,
TIGER_BALM_NATIONALIST,1208141299397939203,Brooklyn,2023-01-20 16:45:21,ACAB includes the fun police.,2,Twitter for iPhone,
EPSMomentumAlert,1443218083255136257,New York,2023-01-20 12:42:48,$IQV has a PEADrift price of $222.29 projected for the next 32 days. Max $235.82 Mean $205.95 and Min $179.67. You… https://t.co/Ee5U6vPlyf,0,ESPM_alert,
❌ 💀 VIC STIZZI 💀 ❌,2452341397,"Brooklyn, NY",2023-01-20 10:25:19,"@Ricebrkr +Despite a reduction in uniformed officers from 37,000 to 28,000 in 2003, crime remained the same. 

+Pol… https://t.co/henX3tvqA9",0,Twitter Web App,
C B “Barney” Miller,29621377,The isle of Manhattan,2023-01-20 07:07:33,"@HistoryBoomer I got 8/10. My guess on the last two:

WEF: A new wrestling league?
ACAB: Old fashioned yellow Ubers?",0,Twitter for iPhone,
